timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-10-27 10:28:27.724754000Z","2025-10-27 10:28:27.7247592Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 7112 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:28.730659600Z","2025-10-27 10:28:28.7306659Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 7112 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:29.735395300Z","2025-10-27 10:28:29.7353993Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 7112 EDRi.exe",,,,,,"Before decrypting the attack exe from C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\attacks\Injector.exe.enc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:29.740430800Z","2025-10-27 10:28:29.7404335Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 7112 EDRi.exe",,,,,,"After decrypting the attack exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:30.743822400Z","2025-10-27 10:28:30.7438276Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 7112 EDRi.exe",,,,,,"Before starting the attack exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:31.8233263Z","2025-10-27 10:28:31.8233263Z","ETW","Microsoft-Windows-Kernel-Process",1,"ProcessStartStart "," 7112 EDRi.exe",812,,,"11456 attack-883.exe",,,"C:\Users\Public\Downloads\attack-883.exe",,,,,,,,,134060345118232316,0,0,"0x","","",7112,4028,4029,2,1,0,1,1761550891,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:31.8267670Z","2025-10-27 10:28:31.8267670Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 7112 EDRi.exe",812,,,"11456 attack-883.exe",,,,,,,,,,,,,,,,,,,,,,,,,,18446672673132687360,18446672673132662784,140697662080768,0,1076014886912,4404,1076012122112,1076012118016,140697662080768,,,,,,,,,,,,,
"2025-10-27 10:28:31.846055600Z","2025-10-27 10:28:31.8460582Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 7112 EDRi.exe",,,,,,"After starting the attack exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:31.9246625Z","2025-10-27 10:28:31.9246625Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","11456 attack-883.exe",4404,,,"11456 attack-883.exe",,,,,,,,,,,,,,,,,,,,,,,,,,18446672673133780992,18446672673133756416,140737174395840,0,1076014895104,6264,1076016185344,1076016181248,140737174395840,,,,,,,,,,,,,
"2025-10-27 10:28:31.9348918Z","2025-10-27 10:28:31.9348918Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","11456 attack-883.exe",6264,,,"11456 attack-883.exe",,,,,,,,,,,,,,,,,,,,,,,,,,18446672673133838336,18446672673133813760,140737174395840,0,1076014903296,7164,1076017233920,1076017229824,140737174395840,,,,,,,,,,,,,
