timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,defaultbase,imagebase,imagesize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-10-27 14:16:51.574314200Z","2025-10-27 14:16:51.5743169Z","myETW","EDRi-Provider",4242,"EDRi-Event","10920 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 14:16:52.5877297Z","2025-10-27 14:16:52.5877297Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","10920 EDRi.exe",11204,,," 3268 MsMpEng.exe",,,,,,,,,,,,18446605034654892032,18446605034654867456,2819651407568,0,676552032256,3264,676569022464,676568956928,2819651407568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 14:16:52.5885751Z","2025-10-27 14:16:52.5885751Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 3268 MsMpEng.exe",3264,,," 3268 MsMpEng.exe",,,,,,,,,,,,18446605034619527168,18446605034619502592,2819651747104,0,676552040448,10068,676569546752,676569481216,2819651747104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 14:16:52.5886934Z","2025-10-27 14:16:52.5886934Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 3268 MsMpEng.exe",3264,,," 3268 MsMpEng.exe",,,,,,,,,,,,18446605034654892032,18446605034654867456,2819651407568,0,676552032256,3264,676569022464,676568956928,2819651407568,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 14:16:52.7481314Z","2025-10-27 14:16:52.7481314Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 3268 MsMpEng.exe",10068,,," 3268 MsMpEng.exe",,,,,,,,,,,,18446605034619527168,18446605034619502592,2819651747104,0,676552040448,10068,676569546752,676569481216,2819651747104,564635160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 14:16:53.603030400Z","2025-10-27 14:16:53.6030340Z","myETW","EDRi-Provider",4242,"EDRi-Event","10920 EDRi.exe",,,,,,"Before decrypting the attack exe from C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\attacks\Injector.exe.enc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 14:16:53.606225800Z","2025-10-27 14:16:53.6062283Z","myETW","EDRi-Provider",4242,"EDRi-Event","10920 EDRi.exe",,,,,,"After decrypting the attack exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 14:16:54.609442300Z","2025-10-27 14:16:54.6094481Z","myETW","EDRi-Provider",4242,"EDRi-Event","10920 EDRi.exe",,,,,,"Before starting the attack exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 14:16:55.7033430Z","2025-10-27 14:16:55.7033430Z","ETW","Microsoft-Windows-Kernel-Process",1,"ProcessStartStart ","10920 EDRi.exe",2208,,," 4076 attack-612.exe",,,"C:\Users\Public\Downloads\attack-612.exe",,,,,,,,,,,,,,,,,,,134060482157032580,0,0,"0x","","",10920,648,651,2,1,0,1,1761550891,,,,,,,,,,,,,,,
"2025-10-27 14:16:55.7073388Z","2025-10-27 14:16:55.7073388Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","10920 EDRi.exe",2208,,," 4076 attack-612.exe",,,,,,,,,,,,18446605034619699200,18446605034619674624,140700710029056,0,281927880704,4236,281929580544,281929576448,140700710029056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
