timestamp,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,as version,av version,engine version,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,connid,daddr,dport,saddr,seqnum,size,sport,desiredaccess,returncode,id,process,reason,threadtime,action,key,vault,data,startstop,deltacpu,deltawall,biggestoffsetwritten,creationtime,firstoffsetwritten,lastoffsetwritten,numberofwrites,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,attrid,attrseq,attrsubset,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,imagepath,classification,eventtype,fileid,fileusn,info,scansource,baseaddress,bytescopied,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,operationstatus,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,vavadallocationbase,vavadallocationprotect,vavadcommitsize,vavadmmfname,vavadqueryresult,vavadregionsize,vavadregiontype,engineid,flags,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,processcontextid,accessmask,washardened,featureid,targetthreadcreatetime,targetthreadid,createtime,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,allocationtype,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,first resource path,first resource type,resource count,scan source,type,startqpc,channel,eventid,processimagepath,taintreason,fullregionsize,lastprotectionmask,targetaddress,guid,signatureid,linksourcename,linktargetname,count,terminationtime,oldfilename,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,featuretype,keypath,newvalue,oldvalue,usermode,valuename,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,targetprocesscreationtime,Source Name,Long Description,Timestamp
"2025-09-30 14:36:47.2455555Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 5844 EDRi.exe",3272,,," 5844 EDRi.exe",,,"C:\Windows\System32\nsi.dll",,,,,,,,,140722108432384,140722108432384,91059,53248,2582648024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-30 14:36:47.2456462Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 5844 EDRi.exe",3272,,," 5844 EDRi.exe",,,"C:\Windows\System32\wevtapi.dll",,,,,,,,,140721930567680,140721930567680,365593,352256,4203236782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-30 14:36:47.2457356Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 5844 EDRi.exe",3272,,," 5844 EDRi.exe",,,"C:\Windows\System32\pla.dll",,,,,,,,,140721464541184,140721464541184,1643040,1650688,2245769546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-30 14:36:47.2458168Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 5844 EDRi.exe",3272,,," 5844 EDRi.exe",,,"C:\Windows\System32\wbemcomn.dll",,,,,,,,,140721854414848,140721854414848,511578,512000,598598288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-30 14:36:47.2458638Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 5844 EDRi.exe",3272,,," 5844 EDRi.exe",,,"C:\Windows\System32\wbem\wbemprox.dll",,,,,,,,,140721814700032,140721814700032,106413,86016,1504955041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-30 14:36:47.2474689Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 5844 EDRi.exe",3272,,," 5844 EDRi.exe",,,"C:\Windows\System32\pla.dll",,,,,,,,,140721464541184,140721464541184,1643040,1638400,2245769546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-30 14:36:47.2476347Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 5844 EDRi.exe",3272,,," 5844 EDRi.exe",,,"C:\Windows\System32\SHCore.dll",,,,,,,,,140722087329792,140722087329792,986194,983040,4225820209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-30 14:36:47.2477854Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 5844 EDRi.exe",3272,,," 5844 EDRi.exe",,,"C:\Windows\System32\nsi.dll",,,,,,,,,140722108432384,140722108432384,91059,40960,2582648024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-30 14:36:47.2481201Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 5844 EDRi.exe",2816,,," 5844 EDRi.exe",,,"C:\Windows\System32\ntmarta.dll",,,,,,,,,140722050629632,140722050629632,286201,221184,2803059627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-30 14:36:47.2484164Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 5844 EDRi.exe",3272,,," 5844 EDRi.exe",,,"C:\Windows\System32\cabinet.dll",,,,,,,,,140721676222464,140721676222464,195802,172032,791399748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-30 14:36:47.2487531Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 5844 EDRi.exe",4300,,," 5844 EDRi.exe",,,"C:\Windows\System32\pdh.dll",,,,,,,,,140721850941440,140721850941440,372057,352256,3869770470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-30 14:36:47.2487578Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 5844 EDRi.exe",8852,,," 5844 EDRi.exe",,,"C:\Windows\System32\wevtapi.dll",,,,,,,,,140721930567680,140721930567680,365593,339968,4203236782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-30 14:36:47.2499810Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 5844 EDRi.exe",3272,,," 5844 EDRi.exe",,,"C:\Windows\System32\wbem\wbemprox.dll",,,,,,,,,140721814700032,140721814700032,106413,73728,1504955041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-30 14:36:47.2506378Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 5844 EDRi.exe",8852,,," 5844 EDRi.exe",,,"C:\Windows\System32\wbemcomn.dll",,,,,,,,,140721854414848,140721854414848,511578,499712,598598288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
